,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Referee,Sh,SoT,Dist,FK,PK,PKatt,Team,Opp,Hour,Day,GF_rolling,GA_rolling,xG_rolling,xGA_rolling,Poss_rolling,Sh_rolling,SoT_rolling,Dist_rolling,FK_rolling,PK_rolling,PKatt_rolling
81,2024-12-21,15:00,0,0,1.0,1.0,18,0.9,1.2,53.0,14,12.0,6.0,15.0,0.0,0,0,4,18,15,5,1.3333333333333333,2.6666666666666665,1.3,1.5333333333333332,55.0,15.333333333333334,5.0,18.76666666666667,1.3333333333333333,0.0,0.0
82,2024-08-25,14:00,0,1,6.0,2.0,19,1.6,1.9,60.0,5,14.0,8.0,15.4,1.0,0,0,5,19,14,6,0.0,2.0,1.0,0.8,48.0,10.0,3.0,17.1,0.0,0.0,0.0
83,2024-09-01,13:30,1,0,1.0,1.0,6,2.4,0.5,62.0,7,13.0,7.0,15.9,1.0,0,0,5,6,13,6,3.0,2.0,1.3,1.35,54.0,12.0,5.5,16.25,0.5,0.0,0.0
84,2024-09-14,20:00,0,1,1.0,0.0,2,0.8,1.7,66.0,1,10.0,3.0,18.2,0.0,0,0,5,2,20,5,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.0666666666666667,56.666666666666664,12.333333333333334,6.0,16.133333333333336,0.6666666666666666,0.0,0.0
85,2024-09-21,12:30,0,1,3.0,0.0,18,2.2,0.9,47.0,16,12.0,5.0,15.0,0.0,0,0,5,18,12,5,2.6666666666666665,1.0,1.5999999999999999,1.3666666666666665,62.666666666666664,12.333333333333334,6.0,16.5,0.6666666666666666,0.0,0.0
86,2024-09-28,15:00,1,1,4.0,2.0,4,4.2,1.1,41.0,13,14.0,5.0,15.7,1.0,1,1,5,4,15,5,1.6666666666666667,0.3333333333333333,1.8,1.0333333333333332,58.333333333333336,11.666666666666666,5.0,16.366666666666667,0.3333333333333333,0.0,0.0
87,2024-10-06,14:00,1,0,1.0,1.0,15,2.3,0.9,65.0,2,22.0,8.0,17.2,0.0,0,0,5,15,14,6,2.6666666666666665,0.6666666666666666,2.4,1.2333333333333332,51.333333333333336,12.0,4.333333333333333,16.3,0.3333333333333333,0.3333333333333333,0.3333333333333333
88,2024-10-20,16:30,0,0,1.0,2.0,11,1.0,1.9,57.0,8,12.0,2.0,16.1,1.0,0,0,5,11,16,6,2.6666666666666665,1.0,2.9,0.9666666666666667,51.0,16.0,6.0,15.966666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
89,2024-10-27,14:00,1,1,2.0,1.0,14,1.6,1.8,50.0,17,17.0,7.0,16.7,0.0,0,0,5,14,14,6,2.0,1.6666666666666667,2.4999999999999996,1.3,54.333333333333336,16.0,5.0,16.333333333333332,0.6666666666666666,0.3333333333333333,0.3333333333333333
90,2024-11-03,16:30,0,0,1.0,1.0,13,1.1,2.0,54.0,14,12.0,3.0,16.0,0.0,0,0,5,13,16,6,1.3333333333333333,1.3333333333333333,1.6333333333333329,1.5333333333333332,57.333333333333336,17.0,5.666666666666667,16.666666666666668,0.3333333333333333,0.0,0.0
